symbol,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars
OI0,long,2010-09-06,2010-11-18,8818.0,9558.0,0.08391925606713535,47
OI0,long,2010-12-06,2011-01-27,9880.0,10670.0,0.07995951417004044,37
OI0,long,2011-02-11,2011-02-18,11064.0,10566.0,-0.04501084598698479,5
OI0,short,2011-03-08,2011-04-01,10400.0,10544.0,-0.01365705614567525,18
OI0,long,2011-08-03,2011-08-08,10620.0,10348.0,-0.025612052730696777,3
OI0,short,2011-10-20,2011-12-23,9682.0,9498.0,0.019372499473573335,45
OI0,short,2012-01-17,2012-02-06,9436.0,9716.0,-0.028818443804034533,9
OI0,long,2012-03-12,2012-05-15,9992.0,10484.0,0.04923939151321055,41
OI0,short,2012-06-13,2012-07-04,9944.0,10308.0,-0.03531237873496318,14
OI0,short,2012-10-31,2012-11-28,9830.0,9670.0,0.016546018614270963,20
OI0,long,2012-12-26,2013-02-07,9850.0,9898.0,0.004873096446700531,28
OI0,short,2013-07-26,2013-08-19,7518.0,7794.0,-0.03541185527328716,16
OI0,short,2013-09-13,2013-10-21,7586.0,7466.0,0.016072863648540103,19
OI0,short,2014-01-30,2014-02-14,6736.0,7006.0,-0.038538395660862146,6
OI0,short,2014-07-02,2014-09-17,6862.0,6172.0,0.11179520414776412,54
OI0,short,2014-09-30,2014-10-31,5952.0,6130.0,-0.02903752039151708,18
OI0,short,2015-03-13,2015-04-07,5854.0,5876.0,-0.0037440435670523797,16
OI0,short,2015-04-09,2015-04-15,5826.0,5930.0,-0.017537942664418216,4
OI0,long,2015-06-16,2015-07-09,6070.0,5890.0,-0.029654036243822124,15
OI0,short,2015-08-24,2015-10-13,5616.0,5798.0,-0.03139013452914796,28
OI0,short,2016-02-24,2016-03-09,5526.0,5660.0,-0.023674911660777398,10
OI0,long,2016-04-01,2016-05-23,5966.0,5856.0,-0.01843781428092528,33
OI0,long,2016-06-30,2016-07-26,6240.0,6264.0,0.0038461538461538325,18
OI0,long,2016-10-11,2016-11-16,6380.0,6842.0,0.07241379310344831,26
OI0,long,2016-11-23,2016-12-22,7072.0,7326.0,0.035916289592760275,21
OI0,short,2017-03-07,2017-03-22,6760.0,6778.0,-0.0026556506344054265,11
OI0,short,2017-03-28,2017-05-02,6520.0,6432.0,0.013681592039801016,22
OI0,short,2017-05-25,2017-06-16,6320.0,6376.0,-0.008782936010037656,14
OI0,long,2017-08-11,2017-09-12,6928.0,6914.0,-0.0020207852193995235,22
OI0,short,2017-10-19,2017-10-25,6586.0,6822.0,-0.03459396071533272,4
OI0,long,2017-11-22,2017-11-29,6866.0,6758.0,-0.015729682493445973,5
OI0,short,2018-01-17,2018-03-02,6452.0,6440.0,0.0018633540372670065,27
OI0,short,2018-03-09,2018-03-15,6236.0,6332.0,-0.01516108654453574,4
OI0,short,2018-07-13,2018-08-07,6437.0,6619.0,-0.027496600694969064,17
OI0,long,2018-09-10,2018-09-21,6763.0,6563.0,-0.02957267484844006,9
OI0,long,2018-10-09,2018-10-22,6805.0,6700.0,-0.01542983100661277,9
OI0,long,2019-02-19,2019-02-26,6779.0,6594.0,-0.027290160790677143,5
OI0,long,2019-03-04,2019-04-01,6876.0,6938.0,0.009016870273414801,20
OI0,long,2019-11-29,2019-12-12,7671.0,7381.0,-0.03780471907182892,9
OI0,long,2019-12-23,2020-01-23,7562.0,7587.0,0.0033060037027241584,22
OI0,short,2020-05-06,2020-05-15,6628.0,6806.0,-0.026153394064061142,7
OI0,long,2020-07-07,2020-08-20,7625.0,8578.0,0.12498360655737706,32
OI0,long,2020-09-15,2020-12-01,8795.0,9764.0,0.11017623649801034,49
OI0,long,2021-04-09,2021-04-20,10683.0,10405.0,-0.026022652812880298,7
OI0,long,2021-04-23,2021-04-30,10848.0,10410.0,-0.04037610619469023,5
OI0,long,2021-05-06,2021-05-21,10971.0,10219.0,-0.06854434418011124,11
OI0,long,2021-09-03,2021-09-14,10937.0,10736.0,-0.018377982993508235,7
OI0,long,2021-09-23,2021-11-10,11146.0,12396.0,0.11214785573299846,29
OI0,long,2021-12-07,2021-12-14,13006.0,11863.0,-0.08788251576195605,5
OI0,short,2022-01-05,2022-01-21,11797.0,12424.0,-0.05046683837733423,12
OI0,long,2022-04-13,2022-05-19,12915.0,13467.0,0.04274099883855986,23
OI0,long,2022-05-27,2022-06-20,13948.0,13375.0,-0.04108115858904504,15
OI0,long,2022-11-03,2022-11-23,11219.0,11089.0,-0.011587485515643148,14
OI0,short,2023-01-10,2023-02-20,10103.0,9970.0,0.013340020060180535,24
OI0,short,2023-03-08,2023-04-18,9665.0,8665.0,0.11540680900173106,28
OI0,short,2023-04-25,2023-06-13,8238.0,7954.0,0.0357053055066634,32
OI0,long,2023-08-29,2023-09-07,9443.0,9076.0,-0.03886476755268453,7
OI0,short,2023-10-11,2023-10-17,8620.0,8982.0,-0.04030282787797823,4
OI0,short,2023-10-24,2023-11-15,8437.0,8790.0,-0.04015927189988622,16
OI0,short,2023-11-24,2024-01-25,8432.0,8034.0,0.0495394573064476,43
OI0,short,2024-01-30,2024-02-29,7636.0,7833.0,-0.02515000638325038,16
OI0,long,2024-04-24,2024-06-05,8412.0,8561.0,0.01771279125059433,27
OI0,short,2024-07-11,2024-07-22,8285.0,8684.0,-0.04594656840165823,7
OI0,short,2025-01-16,2025-02-07,8498.0,8792.0,-0.03343949044585992,10
OI0,long,2025-03-07,2025-04-30,8798.0,9297.0,0.056717435780859304,37
OI0,long,2025-05-27,2025-06-04,9444.0,9101.0,-0.03631935620499793,5
OI0,long,2025-07-03,2025-07-11,9619.0,9439.0,-0.018712963925563986,6
OI0,long,2025-07-30,2025-09-04,9621.0,9739.0,0.012264837334996281,26
OI0,long,2025-09-16,2025-10-16,10053.0,9935.0,-0.011737789714513114,16
OI0,long,2026-05-28,2026-06-08,9886.0,10011.0,0.012644143232854566,7
P0,long,2008-02-13,2008-03-12,10268.0,10970.0,0.06836774444877292,20
P0,short,2008-04-29,2008-05-14,10160.0,10790.0,-0.0583873957367933,11
P0,long,2008-06-09,2008-06-24,10624.0,10326.0,-0.02804969879518071,11
P0,long,2008-07-01,2008-07-07,10856.0,10534.0,-0.029661016949152574,4
P0,short,2008-09-12,2008-11-28,6770.0,4800.0,0.41041666666666665,50
P0,long,2009-02-10,2009-02-20,5532.0,5118.0,-0.07483731019522777,8
P0,long,2009-05-05,2009-06-04,6656.0,6558.0,-0.01472355769230771,20
P0,long,2009-12-31,2010-01-14,7276.0,6888.0,-0.05332600329851567,9
P0,long,2010-04-26,2010-05-04,7028.0,6910.0,-0.016789982925441094,5
P0,short,2010-06-07,2010-07-16,6442.0,6538.0,-0.014683389415723447,26
P0,long,2010-09-07,2010-11-19,7436.0,8830.0,0.1874663797740721,47
P0,long,2010-12-06,2011-01-27,9230.0,9674.0,0.04810400866738895,38
P0,long,2011-02-10,2011-02-18,10198.0,9654.0,-0.05334379290056879,6
P0,short,2011-03-24,2011-04-07,8978.0,9294.0,-0.034000430385194735,8
P0,short,2011-04-19,2011-04-22,9056.0,9362.0,-0.03268532364879295,3
P0,short,2011-10-20,2011-11-08,7736.0,7974.0,-0.02984700275896668,13
P0,short,2011-11-24,2011-12-26,7792.0,7926.0,-0.016906384052485457,21
P0,long,2012-02-03,2012-04-26,8084.0,8774.0,0.08535378525482429,56
P0,short,2012-08-10,2012-08-21,7746.0,7838.0,-0.011737688185761708,7
P0,short,2012-11-06,2012-12-04,6838.0,6796.0,0.006180105944673331,20
P0,short,2013-01-24,2013-02-04,6720.0,7190.0,-0.06536856745479835,7
P0,short,2013-04-01,2013-05-14,6120.0,6110.0,0.0016366612111293755,26
P0,short,2014-01-06,2014-02-12,5976.0,5886.0,0.015290519877675823,21
P0,short,2014-05-30,2014-06-17,5882.0,5880.0,0.0003401360544217358,11
P0,short,2014-07-02,2014-09-17,5820.0,5238.0,0.11111111111111116,54
P0,short,2014-10-21,2014-10-31,5118.0,5396.0,-0.051519644180874735,8
P0,short,2015-01-16,2015-02-10,4942.0,4940.0,0.00040485829959524544,17
P0,short,2015-03-27,2015-04-17,4688.0,4742.0,-0.011387600168705214,14
P0,long,2015-06-01,2015-06-24,5184.0,5140.0,-0.008487654320987637,15
P0,long,2015-07-03,2015-07-08,5400.0,4774.0,-0.11592592592592588,3
P0,short,2015-07-24,2015-09-23,4860.0,4298.0,0.1307584923220102,42
P0,long,2015-12-30,2016-01-13,4864.0,4630.0,-0.04810855263157898,9
P0,long,2016-03-07,2016-05-03,5112.0,5440.0,0.06416275430359941,38
P0,short,2016-07-07,2016-08-03,4856.0,5162.0,-0.059279349089500166,19
P0,long,2016-09-21,2016-10-11,5712.0,5532.0,-0.031512605042016806,9
P0,long,2016-10-18,2016-12-22,5866.0,6166.0,0.05114217524718723,47
P0,short,2017-03-09,2017-05-04,5664.0,5206.0,0.08797541298501721,37
P0,short,2017-06-22,2017-07-03,5180.0,5342.0,-0.030325720703856196,7
P0,short,2017-07-06,2017-07-12,5208.0,5292.0,-0.015873015873015928,4
P0,long,2017-08-08,2017-10-10,5384.0,5546.0,0.0300891530460623,39
P0,long,2017-10-24,2017-11-14,5688.0,5546.0,-0.024964838255977506,15
P0,short,2018-01-17,2018-02-27,5182.0,5296.0,-0.021525679758308103,24
P0,short,2018-04-16,2018-05-11,5024.0,5096.0,-0.014128728414442682,17
P0,short,2018-07-11,2018-07-25,4654.0,4772.0,-0.02472757753562449,10
P0,long,2018-09-06,2018-09-14,4946.0,4858.0,-0.017792155276991517,6
P0,short,2018-10-25,2018-12-05,4664.0,4512.0,0.03368794326241131,29
P0,short,2019-05-23,2019-05-31,4366.0,4470.0,-0.023266219239373553,6
P0,short,2019-06-12,2019-07-25,4344.0,4306.0,0.008824895494658591,31
P0,long,2019-11-20,2020-01-17,5626.0,6126.0,0.08887308922858161,41
P0,short,2020-04-16,2020-05-19,4584.0,4570.0,0.0030634573304157975,20
P0,long,2020-07-15,2020-08-18,5260.0,5678.0,0.07946768060836495,24
P0,long,2020-09-02,2020-09-28,5914.0,5888.0,-0.004396347649644916,18
P0,long,2020-10-14,2020-10-20,6276.0,5944.0,-0.052899936265137004,4
P0,long,2020-10-27,2021-01-18,6262.0,6728.0,0.07441711913126792,58
P0,long,2021-06-04,2021-06-10,7942.0,7690.0,-0.03173004281037517,4
P0,long,2021-08-10,2021-08-20,8660.0,8060.0,-0.06928406466512704,8
P0,long,2021-09-08,2021-11-08,8442.0,9238.0,0.0942904524994077,36
P0,long,2021-11-19,2021-11-30,9978.0,9146.0,-0.08338344357586691,7
P0,long,2022-05-24,2022-06-13,11880.0,11282.0,-0.050336700336700346,13
P0,short,2022-09-01,2022-10-18,8190.0,7962.0,0.028636021100226117,27
P0,short,2023-02-02,2023-02-09,7656.0,8008.0,-0.04395604395604391,5
P0,short,2023-04-18,2023-06-15,7360.0,6808.0,0.08108108108108114,39
