direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars,pnl%
short,2025-04-28 14:30:00,2025-04-28 22:45:00,1076.2769,1082.3831,-0.0056414406322492505,9,-0.56
short,2025-04-29 09:30:00,2025-05-06 21:45:00,1078.34,1050.7119,0.02629464841884821,54,2.63
short,2025-05-09 11:30:00,2025-05-12 11:00:00,1028.7501,1025.5577,0.003112842895138801,21,0.31
short,2025-05-16 14:00:00,2025-05-16 22:15:00,1011.2626,1017.0769,-0.0057166768805780865,9,-0.57
short,2025-05-19 11:00:00,2025-05-19 14:45:00,1010.0824,1014.6736,-0.004524804823935469,7,-0.45
short,2025-05-22 22:00:00,2025-05-23 22:00:00,999.2844,1014.6704,-0.015163544733343914,23,-1.52
long,2025-05-26 14:15:00,2025-05-26 22:15:00,1013.3639,1005.3125,-0.007945220862910052,8,-0.79
long,2025-05-27 21:45:00,2025-05-27 22:45:00,1016.2092,1011.1166,-0.005011369706159008,4,-0.5
short,2025-05-30 10:15:00,2025-05-30 11:30:00,962.9163,975.2467,-0.012643365007028562,4,-1.26
short,2025-06-03 09:15:00,2025-06-03 22:30:00,955.5447,955.0,0.0005703664921465901,20,0.06
long,2025-06-06 21:45:00,2025-06-09 09:15:00,977.0,966.8103,-0.01042958034800412,6,-1.04
long,2025-06-09 11:15:00,2025-06-11 09:30:00,982.842,983.2955,0.00046141699276169845,40,0.05
short,2025-06-12 14:30:00,2025-06-13 10:15:00,965.9229,972.0958,-0.006350094301405318,15,-0.64
short,2025-06-13 15:00:00,2025-06-16 11:30:00,965.0798,971.266,-0.006369212965346205,17,-0.64
long,2025-06-18 14:45:00,2025-06-19 14:00:00,975.4256,984.6217,0.009427782088146985,20,0.94
long,2025-06-20 09:45:00,2025-06-20 21:45:00,994.1908,988.9742,-0.005247081344949001,15,-0.52
long,2025-06-23 21:30:00,2025-06-24 21:45:00,994.3215,997.3641,0.003059976074136994,24,0.31
long,2025-06-25 11:00:00,2025-06-26 09:45:00,1001.0019,1000.2333,-0.0007678307104111992,19,-0.08
long,2025-06-27 21:30:00,2025-06-30 10:45:00,1013.4929,1007.6516,-0.005763533222580941,12,-0.58
long,2025-07-09 10:45:00,2025-07-11 14:15:00,1044.0,1086.1482,0.04037183908045994,52,4.04
short,2025-07-16 14:15:00,2025-07-16 21:30:00,1063.175,1078.1499,-0.013889441533129987,5,-1.39
long,2025-07-22 13:45:00,2025-07-23 10:15:00,1219.0722,1221.0335,0.0016088464653691847,18,0.16
long,2025-07-23 22:00:00,2025-07-25 21:45:00,1219.9427,1333.0,0.09267427068500833,45,9.27
short,2025-08-01 11:30:00,2025-08-04 21:15:00,1086.0243,1091.5516,-0.005063709310673015,30,-0.51
short,2025-08-04 22:45:00,2025-08-05 14:45:00,1069.6021,1082.5149,-0.011928519413450855,15,-1.19
long,2025-08-13 09:30:00,2025-08-13 14:15:00,1087.6604,1075.902,-0.010810727318931512,10,-1.08
short,2025-08-14 23:00:00,2025-08-15 22:45:00,1055.5719,1062.5077,-0.00652776445761305,22,-0.65
short,2025-08-19 11:00:00,2025-08-21 22:30:00,1031.0352,997.6949,0.03341733028804694,60,3.34
short,2025-08-22 14:30:00,2025-08-22 21:15:00,996.068,1016.0013,-0.019619364660261818,3,-1.96
long,2025-08-25 11:00:00,2025-08-25 14:15:00,1029.0284,1013.3747,-0.015212116594643943,5,-1.52
short,2025-08-27 14:00:00,2025-08-28 14:15:00,997.4264,991.7225,0.005751508108366998,24,0.58
short,2025-08-28 22:00:00,2025-08-29 11:15:00,982.8235,991.7613,-0.00901204755620133,12,-0.9
long,2025-09-02 21:30:00,2025-09-03 10:15:00,1057.0211,1048.4465,-0.008112042418074616,11,-0.81
long,2025-09-05 10:15:00,2025-09-09 13:45:00,1053.9017,1104.5064,0.0480165275376252,51,4.8
long,2025-09-11 14:30:00,2025-09-11 21:30:00,1100.994,1076.1983,-0.022521194484256823,4,-2.25
short,2025-09-18 09:15:00,2025-09-19 10:00:00,1096.3598,1096.5132,-0.00013989799666813685,26,-0.01
long,2025-09-22 09:45:00,2025-09-22 10:45:00,1100.0,1088.2942,-0.010641636363636353,3,-1.06
long,2025-09-25 10:45:00,2025-09-26 10:00:00,1150.8456,1159.699,0.00769295203457343,21,0.77
